ORF	entrex.id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	gene_id	Name	Link	Annotation	Growth.Rate.Slope	Bootstrapped.p.value.of.slope	R.2	Growth.Rate.Response..1.5SD	ESR	Calibration.gene.	Bootstrapped.p.value.of.R.2	p.value.of.R.2	Growth.Rate.Baseline	Variability	Bootstrapped.p.value.of.variability	Unresponsive.	beta(sig_up.down)	subtelomeric	category
YGL221C	3038	0.14070596	0.259226879	-0.006920079	0.004697416	6.299321192	0.011498265	0.001896209	0.002286132	0.007975758	0.007975758	NIF3	NIF3	YGL221C	biological process unknown || molecular function unknown || YGL221C || 1082142	-0.68	0.618	0.08	NA	NA	NA	0.115	0.0856	0.23	0.15	0	yes	NA	no	NA
YIL112W	919	0.000832059	0.005067504	-0.016857389	0.005044247	5.744822993	0.019432912	0.003440769	0.002730349	0.007942799	0.007942799	HOS4	HOS4	YIL112W	histone deacetylation* || NAD-dependent histone deacetylase activity* || YIL112W || 1081182	-0.68	0.62	0.06	NA	NA	NA	0.201	0.158	0.05	0.19	0	yes	down	no	NA
YKL098W	2672	0.083383907	0.174663071	0.010211208	0.005897726	5.352563468	0.030529734	0.005023165	0.010538455	0.008345398	0.010538455	MTC2	YKL098W	YKL098W	biological process unknown || molecular function unknown || YKL098W || 1085282	-0.68	0.616	0.05	NA	NA	NA	0.22	0.175	0.28	0.19	0	yes	NA	no	NA
YLR156W	5417	0.924984108	0.955384192	0.001075398	0.011421274	3.156890626	0.095310776	0.027801346	0.003875259	0.030558584	0.030558584	YLR156W	YLR156W	YLR156W	biological process unknown || molecular function unknown || YLR156W || 1084588	-0.68	0.62	0.01	NA	NA	NA	0.596	0.552	0.29	0.49	0.745	NA	NA	no	NA
YML057W	1187	0.002842803	0.01340452	0.013781348	0.004618037	6.826754312	0.025439911	0.0011724	0.00673013	0.008368745	0.008368745	CMP2	CMP2	YML057W	cell ion homeostasis* || calcium-dependent protein serine/threonine phosphatase activity || YML057W || 1083928	-0.68	0.621	0.04	NA	NA	NA	0.313	0.263	0.1	0.25	0.0018	NA	up	no	NA
YIL124W	1359	0.005018357	0.020644036	0.01952623	0.006959106	6.377228277	0.049471248	0.001731565	0.019935125	0.008025505	0.019935125	AYR1	AYR1	YIL124W	phosphatidic acid biosynthesis || acylglycerone-phosphate reductase activity || YIL124W || 1082318	-0.67	0.626	0.05	NA	up	NA	0.261	0.212	0.39	0.21	0	yes	up	no	ccore_ESR_up
YAL022C	1381	0.005426733	0.021977875	0.017248454	0.006203258	6.513883475	0.025216669	0.001474395	0.015741331	0.008137394	0.015741331	FUN26	FUN26	YAL022C	nucleoside transport || nucleoside transporter activity || YAL022C || 1083405	-0.67	0.623	0.02	NA	NA	NA	0.424	0.372	0.01	0.28	0.0104	NA	up	no	NA
YDL139C	5534	0.973534765	0.984439762	-0.000371494	0.011197903	3.442159851	0.057267147	0.031717281	0.010711224	0.024382228	0.024382228	SCM3	SCM3	YDL139C	biological process unknown || molecular function unknown || YDL139C || 1085295	-0.67	0.622	0.06	NA	NA	NA	0.199	0.156	0.28	0.19	0	yes	NA	no	NA
YKR064W	2400	0.054970638	0.128196109	-0.009897699	0.005157447	5.68931016	0.011636891	0.003923875	0.001939594	0.007976351	0.007976351	OAF3	YKR064W	YKR064W	biological process unknown || molecular function unknown || YKR064W || 1081342	-0.67	0.624	0.04	NA	NA	NA	0.274	0.224	0.21	0.22	2.00E-04	NA	NA	no	NA
YMR124W	2562	0.071565446	0.156282403	0.009442706	0.005240496	6.249102642	0.050897858	0.002139293	0.010147268	0.007952757	0.010147268	YMR124W	YMR124W	YMR124W	biological process unknown || molecular function unknown || YMR124W || 1083585	-0.67	0.623	0.1	NA	NA	NA	0.0877	0.0633	-0.01	0.14	0	yes	NA	no	NA
YPL049C	4394	0.526143679	0.670192574	0.004237185	0.006684272	5.825229285	0.038741485	0.003455414	0.016533715	0.007898518	0.016533715	DIG1	DIG1	YPL049C	invasive growth (sensu Saccharomyces) || DNA binding* || YPL049C || 1084359	-0.67	0.623	0.02	NA	NA	NA	0.503	0.453	0.09	0.38	0.248	NA	NA	no	NA
YIL124W	1359	0.005018357	0.020644036	0.01952623	0.006959106	6.377228277	0.049471248	0.001731565	0.019935125	0.008025505	0.019935125	AYR1	AYR1	YIL124W	phosphatidic acid biosynthesis || acylglycerone-phosphate reductase activity || YIL124W || 1082318	-0.67	0.626	0.05	NA	up	NA	0.261	0.212	0.39	0.21	0	yes	up	no	NA
YFL002C	1293	0.004023201	0.017401745	-0.016407832	0.00570442	6.492125552	0.033474404	0.001728431	0.012829799	0.008118528	0.012829799	SPB4	SPB4	YFL002C	35S primary transcript processing* || ATP-dependent RNA helicase activity || YFL002C || 1083775	-0.66	0.627	0.02	NA	down	NA	0.467	0.415	0.05	0.29	0.0142	NA	down	no	core_ESR_down
YDL044C	4510	0.570606302	0.708133807	0.005070338	0.008939891	4.154024364	0.043357568	0.018496083	0.017260013	0.01471752	0.017260013	MTF2	MTF2	YDL044C	protein biosynthesis* || RNA binding || YDL044C || 1080691	-0.66	0.626	0.07	NA	NA	NA	0.143	0.109	0.03	0.17	0	yes	NA	no	NA
YDR217C	1628	0.011252605	0.038662267	-0.014684596	0.005793301	5.994271519	0.034513387	0.0027187	0.012296729	0.007889355	0.012296729	RAD9	RAD9	YDR217C	DNA repair* || protein binding || YDR217C || 1085182	-0.66	0.628	0.04	NA	NA	NA	0.306	0.256	0.14	0.24	8.00E-04	NA	down	no	NA
YGL233W	1403	0.0057998	0.023137194	-0.012979685	0.004704676	6.228560474	0.011380063	0.001956649	0.00306342	0.007945857	0.007945857	SEC15	SEC15	YGL233W	cytokinesis* || protein binding || YGL233W || 1080662	-0.66	0.63	0.07	NA	NA	NA	0.151	0.116	0.39	0.19	0	yes	down	no	NA
YGR037C	2388	0.053793068	0.126071921	0.009465887	0.004908421	6.650164677	0.032660143	0.001297117	0.009481656	0.008251499	0.009481656	ACB1	ACB1	YGR037C	fatty acid metabolism* || long-chain fatty acid transporter activity* || YGR037C || 1081235	-0.66	0.627	0.03	NA	NA	NA	0.354	0.302	0.3	0.25	0.0017	NA	NA	no	NA
YHR200W	1230	0.003283566	0.01494156	0.018583493	0.006321209	6.997777113	0.070944137	0.000970489	0.016906153	0.008506085	0.016906153	RPN10	RPN10	YHR200W	ubiquitin-dependent protein catabolism || endopeptidase activity || YHR200W || 1084899	-0.66	0.629	0.03	NA	NA	NA	0.381	0.328	0.13	0.27	0.0051	NA	up	no	NA
YJL149W	461	1.79E-05	0.000217614	0.021958037	0.005119261	5.642928032	0.047558067	0.003719219	0.004168803	0.008005439	0.008005439	DAS1	YJL149W	YJL149W	biological process unknown || molecular function unknown || YJL149W || 1084380	-0.66	0.631	0.04	NA	NA	NA	0.265	0.215	0.27	0.21	0	yes	NA	no	NA
YKR037C	5128	0.8128416	0.887039755	0.001803712	0.007618258	4.520551535	0.032356241	0.013103573	0.012861942	0.011777269	0.012861942	SPC34	SPC34	YKR037C	mitotic spindle organization and biogenesis in nucleus* || structural constituent of cytoskeleton || YKR037C || 1080917	-0.66	0.63	0.08	NA	NA	NA	0.116	0.0864	0.16	0.15	0	yes	NA	no	NA
YNL164C	3285	0.186928653	0.318490006	-0.009560049	0.007244	4.605044559	0.053462833	0.010824129	0.012652865	0.011216798	0.012652865	IBD2	IBD2	YNL164C	mitotic spindle checkpoint || molecular function unknown || YNL164C || 1082572	-0.66	0.626	0.06	NA	NA	NA	0.19	0.149	0.37	0.16	0	yes	NA	no	NA
YOL110W	3699	0.291611658	0.441240998	0.019103617	0.018114688	4.458821262	0.161258862	0.011721441	0.135085755	0.012215215	0.135085755	SHR5	SHR5	YOL110W	Ras protein signal transduction* || protein-cysteine S-palmitoleyltransferase activity || YOL110W || 1083106	-0.66	0.63	0.01	NA	NA	NA	0.683	0.645	0.47	0.56	0.916	NA	NA	no	NA
YOL146W	2946	0.12557005	0.238703673	0.011618119	0.007584583	4.419332231	0.023307288	0.013228994	0.007784654	0.012507484	0.012507484	PSF3	PSF3	YOL146W	DNA-dependent DNA replication || DNA binding || YOL146W || 1086369	-0.66	0.627	0.05	NA	NA	NA	0.26	0.211	0.38	0.2	0	yes	NA	no	NA
YBR107C	4969	0.7456114	0.839807871	0.002643828	0.00814911	4.259930394	0.01707235	0.015933644	-0.001474312	0.013776588	0.013776588	IML3	IML3	YBR107C	chromosome segregation || molecular function unknown || YBR107C || 1081785	-0.65	0.636	0.12	NA	NA	NA	0.0595	0.042	0.21	0.12	0	yes	NA	no	NA
YDR221W	3687	0.286033353	0.434209026	-0.00508433	0.004765679	6.129560902	0.008322657	0.002237828	0.003589958	0.007923141	0.007923141	GTB1	YDR221W	YDR221W	biological process unknown || molecular function unknown || YDR221W || 1083363	-0.65	0.633	0.03	NA	NA	NA	0.384	0.331	0.21	0.26	0.0038	NA	NA	no	NA
YDR419W	3084	0.147743074	0.268131642	-0.007872684	0.005438628	5.352241692	0.015600022	0.004887173	0.003753794	0.008346013	0.008346013	RAD30	RAD30	YDR419W	DNA repair* || eta DNA polymerase activity || YDR419W || 1085108	-0.65	0.632	0.04	NA	NA	NA	0.313	0.262	0.22	0.25	0.0016	NA	NA	no	NA
YGL203C	5054	0.781054852	0.864971114	-0.001282859	0.00461552	6.759674138	0.013075003	0.001207097	0.002038288	0.008323649	0.008323649	KEX1	KEX1	YGL203C	protein processing || carboxypeptidase D activity || YGL203C || 1083425	-0.65	0.632	0.04	NA	NA	NA	0.273	0.223	0.12	0.2	0	yes	NA	no	NA
YHR199C	424	1.15E-05	0.000151988	0.023537567	0.00536642	6.058299636	0.053172876	0.002634276	0.010249848	0.00790396	0.010249848	AIM46	YHR199C	YHR199C	biological process unknown || molecular function unknown || YHR199C || 1083111	-0.65	0.633	0.02	NA	NA	NA	0.429	0.376	0.05	0.3	0.0293	NA	NA	no	NA
YKL141W	3160	0.160654898	0.284552363	0.011682908	0.008327848	6.514073514	0.049325807	0.001569567	0.02945825	0.008137559	0.02945825	SDH3	SDH3	YKL141W	tricarboxylic acid cycle* || succinate dehydrogenase (ubiquinone) activity || YKL141W || 1084935	-0.65	0.636	0.01	NA	NA	NA	0.61	0.567	-0.65	0.39	0.293	NA	NA	no	NA
YPL202C	2936	0.124391781	0.237132425	-0.008938722	0.005817216	5.145610963	0.019109851	0.006336266	0.007404358	0.008803389	0.008803389	AFT2	AFT2	YPL202C	transcription initiation from RNA polymerase II promoter* || transcription factor activity* || YPL202C || 1085069	-0.65	0.636	0.06	NA	NA	NA	0.196	0.153	0.27	0.18	0	yes	NA	no	NA
YPR172W	2837	0.107339462	0.211765587	0.009676631	0.006009331	5.472131937	0.024263886	0.004245013	0.011911138	0.00815647	0.011911138	YPR172W	YPR172W	YPR172W	biological process unknown || molecular function unknown || YPR172W || 1083249	-0.65	0.635	0.02	NA	NA	NA	0.421	0.369	0.27	0.27	0.0059	NA	NA	no	NA
YBR065C	3645	0.273231892	0.419440182	-0.006923488	0.006319068	4.842903565	0.02139657	0.007969231	0.00544329	0.009895302	0.009895302	ECM2	ECM2	YBR065C	cell wall organization and biogenesis* || molecular function unknown || YBR065C || 1085990	-0.64	0.639	0.05	NA	NA	NA	0.214	0.169	0.33	0.18	0	yes	NA	no	NA
YGL012W	796	0.000411196	0.002891288	0.017989169	0.005092055	8.232062814	0.030503509	0.000291695	0.011308673	0.009419576	0.011308673	ERG4	ERG4	YGL012W	ergosterol biosynthesis || delta24(24-1) sterol reductase activity || YGL012W || 1082100	-0.64	0.638	0.03	NA	NA	NA	0.402	0.35	-0.28	0.28	0.0098	NA	up	no	NA
YGL204C	2669	0.08216898	0.172311645	0.017325068	0.009967032	3.927702477	0.11843326	0.02297153	0.021472898	0.017095417	0.021472898	NA	YGL204C	YGL204C	|| || YGL204C || 1085915	-0.64	0.637	0.01	NA	NA	NA	0.554	0.507	0.45	0.34	0.109	NA	NA	no	NA
YKR038C	3742	0.302347006	0.452150982	0.004908379	0.004758887	6.137044794	0.010829444	0.002206945	0.00524289	0.007925083	0.007925083	KAE1	KAE1	YKR038C	proteolysis and peptidolysis || metalloendopeptidase activity* || YKR038C || 1086750	-0.64	0.637	0.05	NA	NA	NA	0.255	0.206	0.06	0.18	0	yes	NA	no	NA
YLR090W	5298	0.87613027	0.925351833	0.000761365	0.004884405	5.921761924	0.019652384	0.002791598	0.006897412	0.007881955	0.007881955	XDJ1	XDJ1	YLR090W	biological process unknown || chaperone regulator activity || YLR090W || 1083067	-0.64	0.639	0.02	NA	NA	NA	0.449	0.397	-0.37	0.32	0.0479	NA	NA	no	NA
YNL251C	1766	0.015767942	0.049973484	0.018054125	0.007478172	7.165859895	0.083230578	0.000879831	0.02413955	0.008659668	0.02413955	NRD1	NRD1	YNL251C	"transcription termination from Pol II promoter, RNA polymerase(A)-independent || RNA binding || YNL251C || 1082567"	-0.64	0.64	0.02	NA	NA	NA	0.444	0.392	0.08	0.29	0.0184	NA	up	no	NA
YAR071W	714	0.000229855	0.001784323	0.036884266	0.010012777	4.298944439	0.090504976	0.031400005	-7.09E-05	0.013453327	0.013453327	PHO11	PHO11	YAR071W	phosphate metabolism || acid phosphatase activity || YAR071W || 1085164	-0.64	0.639	0	NA	NA	NA	0.912	0.9	1.03	1.87	1	NA	up	TEL	TELO
YBL041W	2072	0.029251962	0.078978886	0.010171842	0.004665824	6.421032021	0.057814085	0.001680601	0.006176946	0.008059026	0.008059026	PRE7	PRE7	YBL041W	ubiquitin-dependent protein catabolism || endopeptidase activity || YBL041W || 1085810	-0.63	0.645	0.09	NA	NA	NA	0.111	0.0823	0.47	0.15	0	yes	NA	no	NA
YDR458C	1613	0.010731235	0.037236653	-0.012800006	0.005016991	5.79338889	0.013166956	0.003347804	0.003728315	0.007913077	0.007913077	HEH2	YDR458C	YDR458C	biological process unknown || molecular function unknown || YDR458C || 1086774	-0.63	0.645	0.02	NA	NA	NA	0.459	0.407	0.12	0.31	0.0422	NA	NA	no	NA
YLR353W	4948	0.738714102	0.835606877	0.00212301	0.006364764	5.795395593	0.02524371	0.003566977	0.014556862	0.007912003	0.014556862	BUD8	BUD8	YLR353W	pseudohyphal growth* || molecular function unknown || YLR353W || 1084256	-0.63	0.644	0.03	NA	NA	NA	0.349	0.298	0.12	0.26	0.0029	NA	NA	no	NA
YNL041C	3400	0.2126243	0.35001712	-0.006056197	0.004859023	6.064039336	0.010461472	0.002657439	0.007180854	0.007905469	0.007905469	COG6	COG6	YNL041C	intra-Golgi transport || molecular function unknown || YNL041C || 1082680	-0.63	0.645	0.06	NA	NA	NA	0.179	0.139	0.19	0.18	0	yes	NA	no	NA
YNL091W	3542	0.246107787	0.388894773	-0.005339199	0.004603333	6.850640211	0.005142977	0.001094313	0.002652833	0.008386168	0.008386168	NST1	NST1	YNL091W	response to salt stress || molecular function unknown || YNL091W || 1085416	-0.63	0.645	0.01	NA	NA	NA	0.55	0.503	0.02	0.33	0.0784	NA	NA	no	NA
YNL201C	655	0.000128166	0.001095184	-0.019399891	0.005065303	6.385971893	0.028438777	0.001670218	0.009808584	0.008031934	0.009808584	PSY2	PSY2	YNL201C	biological process unknown || molecular function unknown || YNL201C || 1082298	-0.63	0.646	0.07	NA	NA	NA	0.159	0.122	0.27	0.18	0	yes	down	no	NA
YPL096W	5025	0.768044747	0.855647065	-0.001938004	0.006570989	4.784992975	0.014229203	0.009136194	0.002109607	0.010181138	0.010181138	PNG1	PNG1	YPL096W	misfolded or incompletely synthesized protein catabolism* || peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity || YPL096W || 1086083	-0.63	0.645	0.07	NA	NA	NA	0.156	0.12	0.39	0.16	0	yes	NA	no	NA
YLR055C	4421	0.536455332	0.679326738	-0.004554543	0.00736764	5.736495516	0.041403647	0.003692528	0.020592715	0.007947871	0.020592715	SPT8	SPT8	YLR055C	histone acetylation* || transcription cofactor activity || YLR055C || 1082681	-0.62	0.651	0.01	NA	NA	NA	0.562	0.516	-0.05	0.37	0.216	NA	NA	no	NA
YMR268C	2407	0.055645722	0.129393064	-0.015825456	0.008269128	4.307220603	0.042684845	0.015985845	0.014605955	0.013385795	0.014605955	PRP24	PRP24	YMR268C	"spliceosome assembly* || RNA splicing factor activity, transesterification mechanism || YMR268C || 1081599"	-0.62	0.647	0.04	NA	NA	NA	0.265	0.216	0.22	0.22	1.00E-04	NA	NA	no	NA
YOR198C	4170	0.441142963	0.592158017	0.003558769	0.004620191	7.583738528	0.03188712	0.000536024	0.006101403	0.009014022	0.009014022	BFR1	BFR1	YOR198C	meiosis* || RNA binding || YOR198C || 1081021	-0.62	0.647	0.02	NA	NA	NA	0.424	0.371	-0.16	0.24	6.00E-04	NA	NA	no	NA
YOR261C	4853	0.699299096	0.806506706	-0.001780924	0.004610606	6.709191584	0.028183898	0.00121744	0.00569398	0.008293022	0.008293022	RPN8	RPN8	YOR261C	ubiquitin-dependent protein catabolism || molecular function unknown || YOR261C || 1083785	-0.62	0.651	0.02	NA	NA	NA	0.433	0.381	0.56	0.28	0.0122	NA	NA	no	NA
YDR418W	3122	0.153719858	0.27549473	-0.006705556	0.004700657	8.877696686	0.021830743	0.000148071	0.006470934	0.009737524	0.009737524	RPL12B	RPL12B	YDR418W	protein biosynthesis* || structural constituent of ribosome || YDR418W || 1086102	-0.61	0.654	0.08	NA	down	NA	0.14	0.106	0.39	0.15	0	yes	NA	no	core_ESR_down
YLR029C	1888	0.020336061	0.060286513	-0.012592045	0.005427397	9.528578267	0.038720838	8.03E-05	0.013098312	0.009966576	0.013098312	RPL15A	RPL15A	YLR029C	protein biosynthesis || structural constituent of ribosome* || YLR029C || 1086430	-0.61	0.657	0.03	NA	down	NA	0.338	0.286	0.4	0.22	3.00E-04	NA	NA	no	core_ESR_down
YOR001W	706	0.000211867	0.001681874	-0.02613552	0.007055207	6.947142534	0.067987237	0.00102851	0.02124072	0.008462693	0.02124072	RRP6	RRP6	YOR001W	35S primary transcript processing* || 3'-5'-exoribonuclease activity || YOR001W || 1081417	-0.61	0.653	0.04	NA	down	NA	0.303	0.253	0.08	0.21	0	yes	down	no	core_ESR_down
YDL077C	4703	0.638644375	0.759968615	0.002465573	0.005250423	5.879074043	0.014064547	0.003073122	0.009260034	0.007884764	0.009260034	VAM6	VAM6	YDL077C	vacuole organization and biogenesis* || Rab guanyl-nucleotide exchange factor activity || YDL077C || 1081797	-0.61	0.655	0.09	NA	NA	NA	0.102	0.0745	0.27	0.13	0	yes	NA	no	NA
YDL123W	1263	0.003638521	0.016111394	0.01923692	0.006615375	5.326660932	0.05882071	0.00619457	0.013384612	0.008395579	0.013384612	SNA4	SNA4	YDL123W	biological process unknown || molecular function unknown || YDL123W || 1080857	-0.61	0.655	0.01	NA	NA	NA	0.595	0.551	0.08	0.4	0.347	NA	up	no	NA
YER039C-A	3057	0.144023334	0.263689434	0.021790797	0.014915281	2.91562143	0.189966463	0.062257372	0.023156895	0.037271372	0.037271372	YER039C-A	YER039C-A	YER039C-A	biological process unknown || molecular function unknown || YER039C-A || 1083265	-0.61	0.654	0.01	NA	NA	NA	0.596	0.552	0.3	0.43	0.494	NA	NA	no	NA
YGR232W	4057	0.400778106	0.552773549	0.004145964	0.004934306	5.895941965	0.015328338	0.003009867	0.004767178	0.007882892	0.007882892	NAS6	NAS6	YGR232W	proteolysis and peptidolysis || molecular function unknown || YGR232W || 1085262	-0.61	0.654	0.04	NA	NA	NA	0.307	0.257	0.17	0.21	0	yes	NA	no	NA
YLR163C	4106	0.419870582	0.572438599	0.003954332	0.004902191	5.849662415	0.026208255	0.002860717	0.002343398	0.007890709	0.007890709	MAS1	MAS1	YLR163C	mitochondrial protein processing || mitochondrial processing peptidase activity || YLR163C || 1085883	-0.61	0.655	0.02	NA	NA	NA	0.416	0.363	-0.29	0.28	0.0116	NA	NA	no	NA
YPR182W	3422	0.217380769	0.355546512	0.016317449	0.013228331	4.718784738	0.067304675	0.008883431	0.06940467	0.010536557	0.06940467	SMX3	SMX3	YPR182W	"nuclear mRNA splicing, via spliceosome || RNA splicing factor activity, transesterification mechanism || YPR182W || 1086255"	-0.61	0.654	0.02	NA	NA	NA	0.471	0.42	0.02	0.3	0.0276	NA	NA	no	NA
YMR313C	5221	0.845071873	0.905931292	-0.000927371	0.004745765	6.26678135	0.006780569	0.002116323	0.004931658	0.007959908	0.007959908	TGL3	TGL3	YMR313C	lipid metabolism || triacylglycerol lipase activity || YMR313C || 1086329	-0.61	0.655	0.03	NA	NA	NA	0.348	0.296	0.13	0.23	4.00E-04	NA	NA	TEL	TELO
YAL026C	1290	0.003958324	0.017174217	-0.013247557	0.004597509	7.249154047	0.018256454	0.000718921	0.001427059	0.008737588	0.008737588	DRS2	DRS2	YAL026C	processing of 20S pre-rRNA* || ATPase activity* || YAL026C || 1085438	-0.6	0.662	0.04	NA	NA	NA	0.298	0.248	0.06	0.21	1.00E-04	NA	down	no	NA
YCR059C	2706	0.088660219	0.183314092	0.017524231	0.010293187	5.993412247	0.048426107	0.002767976	0.04463279	0.007889199	0.04463279	YIH1	YIH1	YCR059C	regulation of amino acid metabolism || molecular function unknown || YCR059C || 1081327	-0.6	0.658	0.01	NA	NA	NA	0.572	0.526	-0.22	0.38	0.247	NA	NA	no	NA
YKL139W	1869	0.019498999	0.05836364	-0.014329	0.00613438	4.984860692	0.018183945	0.007536247	0.001059015	0.009299293	0.009299293	CTK1	CTK1	YKL139W	protein amino acid phosphorylation* || protein kinase activity* || YKL139W || 1082151	-0.6	0.662	0.04	NA	NA	NA	0.295	0.245	-0.09	0.21	1.00E-04	NA	NA	no	NA
YKR062W	2733	0.091805583	0.188011653	-0.009190163	0.005451032	5.369227551	0.011667863	0.004979782	0.002654296	0.008313834	0.008313834	TFA2	TFA2	YKR062W	transcription initiation from RNA polymerase II promoter || general RNA polymerase II transcription factor activity || YKR062W || 1081924	-0.6	0.663	0.08	NA	NA	NA	0.117	0.0874	0.26	0.14	0	yes	NA	no	NA
YLR161W	5419	0.925000346	0.955384192	0.001075167	0.011421303	3.156887004	0.09531119	0.027801549	0.003875265	0.030558673	0.030558673	YLR161W	YLR161W	YLR161W	biological process unknown || molecular function unknown || YLR161W || 1081185	-0.6	0.662	0.01	NA	NA	NA	0.609	0.566	0.36	0.44	0.551	NA	NA	no	NA
YMR098C	3555	0.250047339	0.393675093	-0.006240794	0.005425671	5.444769515	0.013454274	0.004978316	0.001263478	0.00819189	0.00819189	ATP25	YMR098C	YMR098C	biological process unknown || molecular function unknown || YMR098C || 1082089	-0.6	0.661	0.03	NA	NA	NA	0.391	0.339	-0.06	0.25	0.0022	NA	NA	no	NA
YPR104C	1439	0.006325508	0.024603107	-0.015215923	0.005572756	5.839090565	0.023451311	0.003012831	0.010881118	0.00789375	0.010881118	FHL1	FHL1	YPR104C	rRNA processing* || transcription factor activity || YPR104C || 1083049	-0.6	0.659	0.03	NA	NA	NA	0.33	0.279	0.23	0.22	2.00E-04	NA	down	no	NA
YOR111W	1582	0.009644898	0.034122942	-0.032113858	0.012407283	3.405323072	0.085480159	0.037029939	0.03184148	0.025087874	0.03184148	YOR111W	YOR111W	YOR111W	biological process unknown || molecular function unknown || YOR111W || 1082960	-0.59	0.663	0.02	NA	NA	NA	0.42	0.367	0.47	0.25	0.0023	NA	down	no	Insensitive_down
YLR319C	2677	0.083992694	0.175609679	-0.009361658	0.005417704	5.426370717	0.02342001	0.004913425	0.007333387	0.008218133	0.008218133	BUD6	BUD6	YLR319C	actin filament organization* || cytoskeletal regulatory protein binding || YLR319C || 1086525	-0.59	0.666	0.05	NA	NA	NA	0.247	0.199	0.05	0.19	0	yes	NA	no	NA
YPL046C	4808	0.680840105	0.792607749	0.005384664	0.013091276	3.215852004	0.028175644	0.047534333	-0.012506837	0.02913993	0.02913993	ELC1	ELC1	YPL046C	RNA elongation from RNA polymerase II promoter* || transcriptional elongation regulator activity || YPL046C || 1084322	-0.59	0.666	0.02	NA	NA	NA	0.417	0.365	0.42	0.27	0.0072	NA	NA	no	NA
YPL048W	4483	0.559501469	0.698724719	0.003011675	0.00516067	8.3280765	0.010222028	0.000230321	0.011684784	0.009472423	0.011684784	CAM1	CAM1	YPL048W	regulation of translational elongation || translation elongation factor activity || YPL048W || 1080943	-0.59	0.663	0.02	NA	NA	NA	0.419	0.366	0.19	0.27	0.006	NA	NA	no	NA
YBR286W	1019	0.001484822	0.008155593	0.014911244	0.004692562	8.763223942	0.025640415	0.000163938	0.008941298	0.009687639	0.009687639	APE3	APE3	YBR286W	vacuolar protein catabolism || aminopeptidase activity || YBR286W || 1084558	-0.59	0.664	0.02	NA	NA	NA	0.468	0.417	0.14	0.26	0.0031	NA	up	TEL	TELO
YDR512C	4266	0.476550957	0.625365497	0.005645116	0.007930084	4.253258796	0.048861872	0.014301689	0.007135608	0.013832939	0.013832939	EMI1	EMI1	YDR512C	sporulation (sensu Fungi) || molecular function unknown || YDR512C || 1081379	-0.58	0.671	0.02	NA	up	NA	0.49	0.44	0.19	0.3	0.027	NA	NA	no	ccore_ESR_up
YBR058C	1554	0.008750287	0.031515673	-0.012276571	0.004682749	6.474799574	0.032488874	0.00170677	0.006379936	0.008103644	0.008103644	UBP14	UBP14	YBR058C	protein deubiquitination* || ubiquitin-specific protease activity || YBR058C || 1086368	-0.58	0.673	0.1	NA	NA	NA	0.0906	0.0655	0.01	0.11	0	yes	down	no	NA
YCR002C	4312	0.491984788	0.638550494	-0.0032799	0.004773156	6.274942996	0.019449337	0.002229311	0.006378159	0.007963567	0.007963567	CDC10	CDC10	YCR002C	cell wall organization and biogenesis* || GTPase activity* || YCR002C || 1086099	-0.58	0.67	0.05	NA	NA	NA	0.219	0.174	0.49	0.17	0	yes	NA	no	NA
YDR420W	5167	0.826621078	0.895412846	0.001011206	0.004616594	7.300998226	0.021312803	0.000749744	0.004938038	0.00878544	0.00878544	HKR1	HKR1	YDR420W	cell wall organization and biogenesis* || molecular function unknown || YDR420W || 1083700	-0.58	0.671	0.05	NA	NA	NA	0.256	0.207	-0.06	0.14	0	yes	NA	no	NA
YHR031C	2752	0.095117232	0.193448819	-0.010016721	0.006001628	5.642287266	0.035178286	0.003631678	0.012483078	0.008005858	0.012483078	RRM3	RRM3	YHR031C	mitochondrial genome maintenance* || DNA helicase activity* || YHR031C || 1083539	-0.58	0.671	0.02	NA	NA	NA	0.467	0.416	0.21	0.28	0.0099	NA	NA	no	NA
YIL038C	1631	0.011283661	0.03871062	-0.0121958	0.004813266	6.13896805	0.018416982	0.002439329	0.005527994	0.007925575	0.007925575	NOT3	NOT3	YIL038C	regulation of transcription from RNA polymerase II promoter* || 3'-5'-exoribonuclease activity || YIL038C || 1083271	-0.58	0.669	0.09	NA	NA	NA	0.105	0.077	0.24	0.14	0	yes	down	no	NA
YJL178C	3437	0.221508906	0.360720988	-0.005763092	0.004714087	6.151611243	0.007550928	0.00201343	0.003887998	0.007928732	0.007928732	ATG27	ATG27	YJL178C	vesicle organization and biogenesis || protein kinase regulator activity || YJL178C || 1085659	-0.58	0.671	0.08	NA	NA	NA	0.139	0.105	0.27	0.14	0	yes	NA	no	NA
YKR028W	575	5.77E-05	0.000561192	-0.018537121	0.004608684	7.180914103	0.016296002	0.000828763	0.0044352	0.008673772	0.008673772	NA	SAP190	YKR028W	G1/S transition of mitotic cell cycle || protein serine/threonine phosphatase activity || YKR028W || 1085522	-0.58	0.67	0.09	NA	NA	NA	0.0996	0.0729	0.1	0.13	0	yes	NA	no	NA
